data,giorno,n_scuola,disposizione,ricostruito,avanti,dietro_sx,centro,dietro_dx
2026-09-10,gio,1,OMLA,True,O,M,L,A
2026-09-11,ven,2,LAOM,True,L,A,O,M
2026-09-14,lun,3,MLAO,True,M,L,A,O
2026-09-15,mar,4,AOML,True,A,O,M,L
2026-09-16,mer,5,OMLA,,O,M,L,A
2026-09-17,gio,6,LAOM,,L,A,O,M
2026-09-18,ven,7,MLAO,,M,L,A,O
2026-09-21,lun,8,AOML,,A,O,M,L
2026-09-22,mar,9,OMLA,,O,M,L,A
2026-09-23,mer,10,LAOM,,L,A,O,M
2026-09-24,gio,11,MLAO,,M,L,A,O
2026-09-25,ven,12,AOML,,A,O,M,L
2026-09-28,lun,13,OMLA,,O,M,L,A
2026-09-29,mar,14,LAOM,,L,A,O,M
2026-09-30,mer,15,MLAO,,M,L,A,O
2026-10-01,gio,16,AOML,,A,O,M,L
2026-10-02,ven,17,OMLA,,O,M,L,A
2026-10-05,lun,18,LAOM,,L,A,O,M
2026-10-06,mar,19,MLAO,,M,L,A,O
2026-10-07,mer,20,AOML,,A,O,M,L
2026-10-08,gio,21,OMLA,,O,M,L,A
2026-10-09,ven,22,LAOM,,L,A,O,M
2026-10-12,lun,23,MLAO,,M,L,A,O
2026-10-13,mar,24,AOML,,A,O,M,L
2026-10-14,mer,25,OMLA,,O,M,L,A
2026-10-15,gio,26,LAOM,,L,A,O,M
2026-10-16,ven,27,MLAO,,M,L,A,O
2026-10-19,lun,28,AOML,,A,O,M,L
2026-10-20,mar,29,OMLA,,O,M,L,A
2026-10-21,mer,30,LAOM,,L,A,O,M
2026-10-22,gio,31,MLAO,,M,L,A,O
2026-10-23,ven,32,AOML,,A,O,M,L
2026-10-26,lun,33,OMLA,,O,M,L,A
2026-10-27,mar,34,LAOM,,L,A,O,M
2026-10-28,mer,35,MLAO,,M,L,A,O
2026-10-29,gio,36,AOML,,A,O,M,L
2026-11-03,mar,37,OMLA,,O,M,L,A
2026-11-04,mer,38,LAOM,,L,A,O,M
2026-11-05,gio,39,MLAO,,M,L,A,O
2026-11-06,ven,40,AOML,,A,O,M,L
2026-11-09,lun,41,OMLA,,O,M,L,A
2026-11-10,mar,42,LAOM,,L,A,O,M
2026-11-11,mer,43,MLAO,,M,L,A,O
2026-11-12,gio,44,AOML,,A,O,M,L
2026-11-13,ven,45,OMLA,,O,M,L,A
2026-11-16,lun,46,LAOM,,L,A,O,M
2026-11-17,mar,47,MLAO,,M,L,A,O
2026-11-18,mer,48,AOML,,A,O,M,L
2026-11-19,gio,49,OMLA,,O,M,L,A
2026-11-20,ven,50,LAOM,,L,A,O,M
2026-11-23,lun,51,MLAO,,M,L,A,O
2026-11-24,mar,52,AOML,,A,O,M,L
2026-11-25,mer,53,OMLA,,O,M,L,A
2026-11-26,gio,54,LAOM,,L,A,O,M
2026-11-27,ven,55,MLAO,,M,L,A,O
2026-11-30,lun,56,AOML,,A,O,M,L
2026-12-01,mar,57,OMLA,,O,M,L,A
2026-12-02,mer,58,LAOM,,L,A,O,M
2026-12-03,gio,59,MLAO,,M,L,A,O
2026-12-04,ven,60,AOML,,A,O,M,L
2026-12-09,mer,61,OMLA,,O,M,L,A
2026-12-10,gio,62,LAOM,,L,A,O,M
2026-12-11,ven,63,MLAO,,M,L,A,O
2026-12-14,lun,64,AOML,,A,O,M,L
2026-12-15,mar,65,OMLA,,O,M,L,A
2026-12-16,mer,66,LAOM,,L,A,O,M
2026-12-17,gio,67,MLAO,,M,L,A,O
2026-12-18,ven,68,AOML,,A,O,M,L
2026-12-21,lun,69,OMLA,,O,M,L,A
2026-12-22,mar,70,LAOM,,L,A,O,M
